('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         448697 function calls (430575 primitive calls) in 0.891 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      708    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      705    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      674    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      645    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      644    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      636    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      636    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      634    0.000    0.000    0.002    0.000 element.py:2159(search)
      603    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      603    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      593    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      574    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      574    0.004    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
      527    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      525    0.000    0.000    0.002    0.000 enum.py:359(__call__)
      515    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      495    0.000    0.000    0.001    0.000 element.py:2096(search_tag)
      472    0.001    0.000    0.001    0.000 css_types.py:40(__init__)
      471    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      467    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
  451/426    0.003    0.000    0.046    0.000 {built-in method builtins.__build_class__}
      426    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      424    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      422    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      422    0.000    0.000    0.001    0.000 __init__.py:592(object_was_parsed)
      422    0.000    0.000    0.001    0.000 element.py:934(__new__)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      420    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      416    0.000    0.000    0.000    0.000 copyreg.py:100(__newobj__)
      416    0.000    0.000    0.001    0.000 copy.py:66(copy)
      416    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
      416    0.000    0.000    0.002    0.000 core.py:499(copy)
      416    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      412    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      393    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      377    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      365    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      359    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      349    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      344    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      337    0.000    0.000    0.000    0.000 element.py:2059(_normalize_search_value)
      334    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      333    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      330    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      330    0.000    0.000    0.001    0.000 element.py:2192(_matches)
      328    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      325    0.000    0.000    0.002    0.000 css_parser.py:1115(selector_iter)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      320    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      315    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      314    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:250(css_unescape)
      306    0.000    0.000    0.047    0.000 re.py:249(compile)
      306    0.001    0.000    0.047    0.000 re.py:288(_compile)
      297    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      297    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      297    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      297    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
      296    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      295    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      291    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      279    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      275    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
  245/156    0.000    0.000    0.001    0.000 core.py:1857(name)
      244    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      243    0.000    0.000    0.000    0.000 element.py:1489(get)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      230    0.000    0.000    0.000    0.000 core.py:3614(<genexpr>)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      221    0.000    0.000    0.000    0.000 types.py:176(__get__)
      221    0.000    0.000    0.000    0.000 enum.py:801(value)
      218    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      215    0.001    0.000    0.001    0.000 core.py:455(__init__)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      212    0.000    0.000    0.000    0.000 element.py:977(name)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
  210/174    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      192    0.000    0.000    0.000    0.000 typing.py:1241(__eq__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
  186/156    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
