('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         448697 function calls (430575 primitive calls) in 0.891 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 core.py:4098(<genexpr>)
       34    0.000    0.000    0.000    0.000 core.py:4100(<genexpr>)
       33    0.000    0.000    0.000    0.000 core.py:1873(recurse)
       32    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
       32    0.000    0.000    0.000    0.000 core.py:2315(__init__)
     32/6    0.000    0.000    0.001    0.000 core.py:3675(streamline)
       32    0.000    0.000    0.000    0.000 core.py:4370(recurse)
       32    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       31    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       31    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
     31/9    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
       30    0.000    0.000    0.170    0.006 client.py:623(_safe_read)
       30    0.000    0.000    0.000    0.000 core.py:673(<genexpr>)
       30    0.000    0.000    0.000    0.000 core.py:5368(__init__)
       29    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       28    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       28    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       28    0.000    0.000    0.000    0.000 gzip.py:86(read)
       28    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     27/6    0.000    0.000    0.001    0.000 core.py:4409(streamline)
       27    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       26    0.000    0.000    0.000    0.000 abc.py:110(register)
       26    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       26    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       25    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       24    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       24    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       24    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       24    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       24    0.000    0.000    0.003    0.000 gzip.py:463(read)
       24    0.000    0.000    0.000    0.000 core.py:2915(__init__)
       24    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
       24    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       23    0.000    0.000    0.000    0.000 typing.py:664(__init__)
       23    0.000    0.000    0.000    0.000 gzip.py:514(_add_read_data)
       23    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       23    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       23    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       22    0.000    0.000    0.000    0.000 core.py:3361(<genexpr>)
       22    0.000    0.000    0.000    0.000 core.py:4948(__init__)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       21    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       21    0.000    0.000    0.000    0.000 core.py:3627(recurse)
     21/7    0.000    0.000    0.001    0.000 core.py:3816(streamline)
       21    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       20    0.000    0.000    0.001    0.000 core.py:262(_trim_arity)
       20    0.000    0.000    0.001    0.000 core.py:2792(charsAsStr)
       20    0.000    0.000    0.000    0.000 core.py:2984(parseImpl)
     20/8    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       19    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       19    0.005    0.000    0.005    0.000 {built-in method _imp.create_dynamic}
       19    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       19    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       18    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       18    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       18    0.001    0.000    0.002    0.000 enum.py:180(__new__)
       18    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       18    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
       18    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       18    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       18    0.000    0.000    0.000    0.000 traceback.py:298(__len__)
       18    0.000    0.000    0.000    0.000 results.py:244(__bool__)
    18/12    0.000    0.000    0.063    0.005 {built-in method builtins.__import__}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       17    0.000    0.000    0.000    0.000 core.py:1526(__or__)
       17    0.000    0.000    0.000    0.000 core.py:3903(_generateDefaultName)
       17    0.000    0.000    0.000    0.000 core.py:4084(__init__)
       16    0.000    0.000    0.003    0.000 client.py:523(_read_next_chunk_size)
       16    0.000    0.000    0.003    0.000 client.py:553(_get_chunk_left)
       16    0.000    0.000    0.000    0.000 core.py:2820(parseImpl)
     16/2    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
       16    0.000    0.000    0.000    0.000 results.py:17(__getitem__)
       16    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       15    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
       15    0.000    0.000    0.000    0.000 typing.py:1193(__getitem__)
       15    0.000    0.000    0.000    0.000 ssl.py:995(_sslcopydoc)
       15    0.000    0.000    0.001    0.000 core.py:675(<listcomp>)
       15    0.000    0.000    0.001    0.000 core.py:595(set_parse_action)
       15    0.000    0.000    0.000    0.000 core.py:1465(<genexpr>)
       15    0.000    0.000    0.001    0.000 core.py:2791(_generateDefaultName)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       15    0.000    0.000    0.017    0.001 css_parser.py:308(__init__)
       14    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       14    0.000    0.000    0.000    0.000 typing.py:1187(copy_with)
       14    0.000    0.000    0.000    0.000 typing.py:1207(__getitem_inner__)
       14    0.000    0.000    0.229    0.016 __init__.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       14    0.000    0.000    0.007    0.000 css_parser.py:1156(process_selectors)
       13    0.000    0.000    0.000    0.000 enum.py:451(__members__)
     13/6    0.000    0.000    0.000    0.000 core.py:4092(streamline)
       13    0.000    0.000    0.000    0.000 core.py:5585(__init__)
       13    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       12    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       12    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       12    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
       12    0.000    0.000    0.000    0.000 core.py:287(wrapper)
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
       12    0.000    0.000    0.000    0.000 core.py:2345(parseImpl)
       12    0.000    0.000    0.000    0.000 core.py:5667(<lambda>)
       12    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       12    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       11    0.000    0.000    0.000    0.000 core.py:1663(__call__)
       11    0.000    0.000    0.002    0.000 core.py:2678(__init__)
       11    0.000    0.000    0.000    0.000 core.py:4147(_generateDefaultName)
       11    0.000    0.000    0.000    0.000 core.py:4430(_generateDefaultName)
       10    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       10    0.000    0.000    0.002    0.000 enum.py:536(_convert_)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
       10    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       10    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
     10/3    0.000    0.000    0.000    0.000 unicode.py:14(__get__)
     10/2    0.000    0.000    0.001    0.000 core.py:3861(parseImpl)
       10    0.000    0.000    0.002    0.000 core.py:5392(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       10    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       10    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       10    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
        9    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        9    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        9    0.000    0.000    0.000    0.000 css_types.py:394(pickle_register)
        8    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        8    0.000    0.000    0.000    0.000 core.py:561(_setResultsName)
        8    0.000    0.000    0.000    0.000 core.py:5716(<genexpr>)
        8    0.000    0.000    0.000    0.000 formatter.py:42(_default)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        7    0.000    0.000    0.000    0.000 sre_parse.py:863(_parse_flags)
        7    0.000    0.000    0.000    0.000 message.py:462(get)
        7    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        7    0.000    0.000    0.000    0.000 util.py:223(<listcomp>)
        7    0.000    0.000    0.000    0.000 unicode.py:9(__init__)
        7    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        7    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        7    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        6    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        6    0.000    0.000    0.000    0.000 typing.py:1349(__init_subclass__)
        6    0.000    0.000    0.000    0.000 typing.py:1553(<genexpr>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        6    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        6    0.000    0.000    0.000    0.000 core.py:1437(__mul__)
        6    0.000    0.000    0.000    0.000 core.py:3380(<genexpr>)
        6    0.000    0.000    0.000    0.000 core.py:3399(__init__)
        6    0.000    0.000    0.000    0.000 core.py:4758(__init__)
        6    0.000    0.000    0.000    0.000 core.py:4773(stopOn)
        6    0.000    0.000    0.000    0.000 core.py:5456(postParse)
        6    0.000    0.000    0.000    0.000 core.py:5590(__add__)
        6    0.000    0.000    0.000    0.000 core.py:5711(<lambda>)
        6    0.000    0.000    0.000    0.000 results.py:262(haskeys)
        6    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        5    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        5    0.000    0.000    0.000    0.000 enum.py:260(<genexpr>)
        5    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
        5    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        5    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        5    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        5    0.000    0.000    0.000    0.000 datetime.py:51(_days_in_month)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:414(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
        5    0.000    0.000    0.000    0.000 core.py:5451(__init__)
        5    0.000    0.000    0.000    0.000 core.py:5721(token_map)
        5    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
        5    0.000    0.000    0.000    0.000 element.py:274(get_text)
        4    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        4    0.000    0.000    0.000    0.000 os.py:754(encode)
        4    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
        4    0.000    0.000    0.000    0.000 functools.py:841(_is_valid_dispatch_type)
        4    0.000    0.000    0.000    0.000 functools.py:844(register)
      4/2    0.000    0.000    0.000    0.000 functools.py:961(__get__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:288(seek)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        4    0.000    0.000    0.000    0.000 client.py:1007(_output)
        4    0.000    0.000    0.000    0.000 ssl.py:456(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        4    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        4    0.000    0.000    0.000    0.000 core.py:687(<listcomp>)
        4    0.000    0.000    0.000    0.000 core.py:681(add_parse_action)
        4    0.000    0.000    0.000    0.000 core.py:2269(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 core.py:3304(parseImpl)
        4    0.000    0.000    0.000    0.000 core.py:4879(__init__)
        4    0.000    0.000    0.000    0.000 core.py:4972(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 core.py:5602(postParse)
        4    0.000    0.000    0.000    0.000 results.py:14(__init__)
        4    0.000    0.000    0.000    0.000 results.py:200(__setitem__)
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'seek' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 formatter.py:151(__init__)
        4    0.000    0.000    0.000    0.000 dammit.py:391(_usable)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:561(__subclasshook__)
        3    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        3    0.000    0.000    0.000    0.000 functools.py:946(__init__)
        3    0.000    0.000    0.000    0.000 functools.py:952(__set_name__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        3    0.000    0.000    0.000    0.000 typing.py:1548(__init_subclass__)
        3    0.000    0.000    0.000    0.000 datetime.py:46(_days_before_year)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:2205(_create)
        3    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 message.py:120(__init__)
        3    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
        3    0.000    0.000    0.000    0.000 client.py:1238(putheader)
        3    0.000    0.000    0.000    0.000 client.py:1286(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        3    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        3    0.000    0.000    0.000    0.000 traceback.py:309(walk_stack)
        3    0.000    0.000    0.000    0.000 core.py:1613(__invert__)
        3    0.000    0.000    0.000    0.000 core.py:1623(__getitem__)
        3    0.000    0.000    0.000    0.000 core.py:1683(suppress)
        3    0.000    0.000    0.000    0.000 core.py:3488(__init__)
        3    0.000    0.000    0.000    0.000 core.py:4739(__init__)
        3    0.000    0.000    0.000    0.000 core.py:4753(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        3    0.000    0.000    0.000    0.000 pathlib.py:239(splitroot)
        3    0.000    0.000    0.000    0.000 pathlib.py:567(_parse_args)
        3    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
        3    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        3    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x100a9a950}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 element.py:33(_alias)
        3    0.000    0.000    0.002    0.001 element.py:779(_find_all)
        3    0.000    0.000    0.002    0.001 element.py:1871(find_all)
        3    0.000    0.000    0.000    0.000 element.py:2011(__init__)
        3    0.000    0.000    0.000    0.000 element.py:2278(__init__)
        3    0.000    0.000    0.000    0.000 idna.py:147(encode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        2    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        2    0.000    0.000    0.000    0.000 _collections_abc.py:978(clear)
        2    0.000    0.000    0.000    0.000 functools.py:853(<lambda>)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        2    0.000    0.000    0.000    0.000 enum.py:749(__str__)
        2    0.000    0.000    0.000    0.000 weakref.py:368(__init__)
        2    0.000    0.000    0.000    0.000 weakref.py:496(popitem)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        2    0.000    0.000    0.000    0.000 linecache.py:26(getline)
        2    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        2    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
        2    0.000    0.000    0.000    0.000 tokenize.py:327(find_cookie)
        2    0.000    0.000    0.000    0.000 typing.py:2247(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:2248(<dictcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:2246(_make_nmtuple)
        2    0.000    0.000    0.000    0.000 typing.py:2279(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:2266(__new__)
        2    0.000    0.000    0.000    0.000 typing.py:2327(_namedtuple_mro_entries)
        2    0.000    0.000    0.000    0.000 __init__.py:269(_convert_byte_str)
        2    0.000    0.000    0.000    0.000 __init__.py:797(__init__)
        2    0.000    0.000    0.000    0.000 calendar.py:57(__init__)
        2    0.000    0.000    0.000    0.000 calendar.py:76(__init__)
        2    0.000    0.000    0.000    0.000 datetime.py:634(__neg__)
        2    0.000    0.000    0.000    0.000 datetime.py:792(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:1239(__new__)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        2    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
        2    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        2    0.000    0.000    0.006    0.003 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:514(family)
        2    0.000    0.000    0.000    0.000 socket.py:520(type)
        2    0.000    0.000    0.000    0.000 parse.py:103(_noop)
        2    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 gzip.py:323(closed)
        2    0.000    0.000    0.000    0.000 gzip.py:410(_init_read)
        2    0.000    0.000    0.000    0.000 gzip.py:414(_read_exact)
        2    0.000    0.000    0.000    0.000 gzip.py:430(_read_gzip_header)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        2    0.000    0.000    0.002    0.001 parser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socks.py:38(set_self_blocking)
        2    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        2    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        2    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        2    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        2    0.000    0.000    0.000    0.000 traceback.py:259(__init__)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
        2    0.000    0.000    0.000    0.000 unicode.py:55(_chars_for_ranges)
        2    0.000    0.000    0.000    0.000 core.py:528(set_results_name)
        2    0.000    0.000    0.000    0.000 core.py:959(reset_cache)
        2    0.000    0.000    0.001    0.000 core.py:1076(parse_string)
        2    0.000    0.000    0.000    0.000 core.py:2278(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2961(re)
        2    0.000    0.000    0.000    0.000 core.py:2973(re_match)
        2    0.000    0.000    0.000    0.000 core.py:3297(_generateDefaultName)
        2    0.000    0.000    0.000    0.000 core.py:3379(_generateDefaultName)
        2    0.000    0.000    0.001    0.000 core.py:4779(parseImpl)
        2    0.000    0.000    0.000    0.000 core.py:4956(parseImpl)
        2    0.000    0.000    0.000    0.000 core.py:5509(__init__)
        2    0.000    0.000    0.001    0.000 core.py:5684(srange)
        2    0.000    0.000    0.009    0.005 core.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:53(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:587(_from_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:598(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:606(_format_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:619(__str__)
        2    0.000    0.000    0.000    0.000 pathlib.py:955(__new__)
        2    0.000    0.000    0.000    0.000 results.py:247(__iter__)
        2    0.000    0.000    0.000    0.000 results.py:418(__getattr__)
        2    0.000    0.000    0.000    0.000 results.py:434(<lambda>)
        2    0.000    0.000    0.000    0.000 results.py:436(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:209(deprecated_argument)
        2    0.000    0.000    0.000    0.000 __init__.py:197(reset)
        2    0.000    0.000    0.002    0.001 element.py:1846(find)
        2    0.000    0.000    0.000    0.000 formatter.py:158(__init__)
        2    0.000    0.000    0.000    0.000 dammit.py:407(encodings)
        2    0.004    0.002    0.045    0.023 parser.py:133(goahead)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:238(handle_entityref)
        2    0.000    0.000    0.001    0.000 _htmlparser.py:342(prepare_markup)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:1079(__subclasshook__)
        1    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        1    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 posixpath.py:100(split)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        1    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 posixpath.py:337(normpath)
        1    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
        1    0.000    0.000    0.000    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 contextlib.py:420(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:423(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:426(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:640(update)
        1    0.000    0.000    0.000    0.000 enum.py:58(_make_class_unpicklable)
